ABSTRACTIONID,java.lang.ArithmeticException,java.lang.ArrayIndexOutOfBoundsException,java.lang.ArrayStoreException,java.lang.ClassCastException,java.lang.Error,java.lang.IllegalArgumentException,java.lang.IllegalMonitorStateException,java.lang.IllegalStateException,java.lang.IndexOutOfBoundsException,java.lang.NegativeArraySizeException,java.lang.NullPointerException,java.lang.NumberFormatException,java.lang.OutOfMemoryError,java.lang.RuntimeException,java.lang.StackOverflowError,java.lang.StringIndexOutOfBoundsException,java.lang.UnsupportedOperationException,java.util.ConcurrentModificationException,java.util.EmptyStackException,java.util.FormatFlagsConversionMismatchException,java.util.IllegalFormatConversionException,java.util.IllegalFormatPrecisionException,java.util.IllegalFormatWidthException,java.util.InputMismatchException,java.util.MissingFormatArgumentException,java.util.MissingFormatWidthException,java.util.NoSuchElementException,java.util.UnknownFormatConversionException,java.util.regex.PatternSyntaxException,Total Outputs
mbpp_160_find_solution,3,0,0,0,0,2,0,0,0,0,6,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24
mbpp_162_sum_series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_165_count_char_position,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40
mbpp_166_find_even_pair,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
mbpp_16_text_lowercase_underscore,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,12
mbpp_171_perimeter_pentagon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_172_count_occurance,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,46
mbpp_17_square_perimeter,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_18_remove_dirty_chars,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
mbpp_19_test_duplicate,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mbpp_20_is_woodall,3,3,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
mbpp_223_is_majority,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
mbpp_226_odd_values_string,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,22
mbpp_227_min_of_three,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mbpp_228_all_Bits_Set_In_The_Given_Range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_229_re_arrange_array,0,0,0,0,0,0,0,0,321,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333
mbpp_234_volume_cube,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_238_number_of_substrings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_239_get_total_number_of_sequences,8,3,0,0,0,3,0,0,3,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
mbpp_242_count_charac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_247_lps,0,78,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,111
mbpp_249_intersection_array,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_251_insert_element,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,129
mbpp_256_count_Primes_nums,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_260_newman_prime,0,3,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
mbpp_266_lateralsurface_cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_269_ascii_value,0,0,0,0,0,0,0,0,0,0,3,9,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_271_even_Power_Sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_274_even_binomial_Coeff_Sum,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_281_all_unique,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_283_validate,18,29,0,0,0,0,0,1,0,0,18,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,75
mbpp_286_max_sub_array_sum_repeated,0,0,3,0,0,0,0,0,27,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
mbpp_291_count_no_of_ways,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
mbpp_292_find,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
mbpp_293_otherside_rightangle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_295_sum_div,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
mbpp_296_get_Inv_Count,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
mbpp_304_find_Element,0,12,0,0,0,1,0,0,87,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
mbpp_306_max_sum_increasing_subseq,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_308_large_product,6,0,0,0,0,0,0,0,21,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,40
mbpp_388_highest_Power_of_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
mbpp_391_convert_list_dictionary,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_392_get_max_sum,3,0,0,0,0,0,0,0,3,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
mbpp_395_first_non_repeating_character,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,14
mbpp_396_check_char,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,21
mbpp_397_median_numbers,0,3,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18
mbpp_408_k_smallest_pairs,0,3,0,0,0,0,0,0,52,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,67
mbpp_412_remove_odd,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,9
mbpp_414_overlapping,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
mbpp_427_change_date_format,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24
mbpp_428_shell_sort,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
mbpp_430_parabola_directrix,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_434_text_match_one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7
mbpp_435_last_Digit,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_436_neg_nos,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14
mbpp_437_remove_odd,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,23
mbpp_441_surfacearea_cube,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
mbpp_447_cube_nums,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_448_cal_sum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_450_extract_string,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,33,0,2,0,0,0,0,0,0,0,0,0,0,0,98
mbpp_454_text_match_wordz,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mbpp_455_check_monthnumb_number,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
mbpp_459_remove_uppercase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_460_Extract,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_461_upper_ctr,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_464_check_value,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_468_max_product,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_472_check_Consecutive,0,3,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,63
mbpp_474_replace_char,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,6,27
mbpp_476_big_sum,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_478_remove_lowercase,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_479_first_Digit,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
mbpp_4_heap_queue_largest,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_556_find_Odd_Pair,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17
mbpp_558_digit_distance_nums,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mbpp_559_max_sub_array_sum,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
mbpp_562_Find_Max_Length,0,0,0,0,0,0,0,0,39,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
mbpp_564_count_Pairs,3,3,0,0,0,0,0,0,28,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
mbpp_565_split,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_566_sum_digits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_567_issort_list,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
mbpp_569_sort_sublists,0,0,0,33,0,0,0,0,10,0,0,0,3,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,54
mbpp_572_two_unique_nums,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
mbpp_573_unique_product,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15
mbpp_576_is_Sub_Array,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
mbpp_577_last_Digit_Factorial,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
mbpp_578_interleave_lists,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
mbpp_57_find_Max_Num,3,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
mbpp_583_catalan_number,28,3,0,0,0,3,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
mbpp_584_find_adverbs,0,7,0,3,0,0,0,0,11,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,3,0,3,69
mbpp_586_split_Arr,0,0,0,0,0,3,0,0,9,0,0,0,18,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,35
mbpp_589_perfect_squares,5,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
mbpp_591_swap_List,0,0,0,0,0,0,0,0,63,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,75
mbpp_592_sum_Of_product,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
mbpp_593_removezero_ip,0,42,0,0,0,3,0,0,0,0,0,27,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,101
mbpp_594_diff_even_odd,3,3,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
mbpp_597_find_kth,0,0,0,0,0,3,0,0,60,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
mbpp_598_armstrong_number,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_602_first_repeated_char,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,102
mbpp_603_get_ludic,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_604_reverse_words,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_611_max_of_nth,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
mbpp_618_div_list,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,10
mbpp_619_move_num,0,5,0,0,0,0,0,0,0,0,0,50,3,0,0,33,3,0,0,0,0,0,0,0,0,0,3,0,0,97
mbpp_61_count_Substrings,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,44
mbpp_622_get_median,0,0,0,0,0,0,0,0,15,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
mbpp_623_nth_nums,3,3,0,0,0,0,0,0,16,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
mbpp_624_is_upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_625_swap_List,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_626_triangle_area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,6
mbpp_627_find_First_Missing,0,0,0,0,0,1,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
mbpp_628_replace_spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_632_move_zero,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
mbpp_633_pair_xor_Sum,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_635_heap_sort,0,0,0,0,0,0,0,0,24,0,9,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45
mbpp_638_wind_chill,4,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16
mbpp_639_sample_nam,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_640_remove_parenthesis,0,0,3,0,0,0,0,0,6,0,3,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,3,0,3,27
mbpp_641_is_nonagonal,6,3,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
mbpp_643_text_match_wordz_middle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
mbpp_644_reverse_Array_Upto_K,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
mbpp_68_is_Monotonic,0,3,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
mbpp_69_is_sublist,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
mbpp_6_differ_At_One_Bit_Pos,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_71_comb_sort,0,2,0,0,0,0,0,0,90,0,0,0,14,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,115
mbpp_721_maxAverageOfPath,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
mbpp_723_count_same_pair,0,1,0,0,0,2,0,0,18,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
mbpp_728_sum_list,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
mbpp_733_find_first_occurrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_734_sum_Of_Subarray_Prod,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
mbpp_736_left_insertion,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
mbpp_739_find_Index,6,0,0,0,0,0,0,0,0,0,0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_741_all_Characters_Same,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
mbpp_743_rotate_right,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_745_divisible_by_digits,53,0,0,0,0,0,0,0,0,0,0,2,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
mbpp_746_sector_area,0,0,0,0,0,3,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
mbpp_747_lcs_of_three,0,54,0,3,0,0,0,0,0,0,3,3,0,0,16,57,0,0,0,0,0,0,0,0,0,0,0,0,0,136
mbpp_748_capital_words_spaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_749_sort_numeric_strings,0,0,0,0,0,0,0,0,6,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412
mbpp_74_is_samepatterns,0,3,0,0,0,0,0,0,31,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,47
mbpp_751_check_min_heap,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
mbpp_752_jacobsthal_num,30,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
mbpp_756_text_match_zero_one,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,46
mbpp_757_count_reverse_pairs,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,37
mbpp_760_unique_Element,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7
mbpp_764_number_ctr,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_767_get_pairs_count,1,4,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
mbpp_769_Diff,0,0,0,0,0,2,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,106
mbpp_771_check_expression,0,6,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,12,0,0,0,0,0,0,0,3,0,0,33
mbpp_772_remove_length,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10
mbpp_775_odd_position,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
mbpp_776_count_vowels,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,42
mbpp_77_is_Diff,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
mbpp_781_count_divisors,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
mbpp_782_odd_length_sum,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
mbpp_784_mul_even_odd,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11
mbpp_786_right_insertion,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
mbpp_790_even_position,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
mbpp_793_last,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
mbpp_794_text_starta_endb,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_801_test_three_equal,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
mbpp_802_count_rotation,0,0,0,0,0,0,0,0,107,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117
mbpp_803_is_perfect_square,18,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
mbpp_805_max_sum_list,0,0,0,0,0,0,0,0,216,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,228
mbpp_83_get_Char,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,22
mbpp_84_sequence,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
mbpp_87_merge_dictionaries_three,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,9
mbpp_88_freq_count,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
mbpp_89_closest_num,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
mbpp_92_is_undulating,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
mbpp_93_power,0,0,0,0,0,3,0,0,0,0,0,0,0,2,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,31
mbpp_96_divisor,15,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
mbpp_99_decimal_to_binary,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14
mbpp_9_find_Rotations,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,82,0,0,0,0,0,0,0,0,0,0,0,0,0,101
